transaction_id,store_id,amount,date,salesperson
1,2,299.42,2025-06-08,Bob
2,4,224.41,2025-05-29,Eve
3,2,437.82,2025-02-03,Carol
4,4,133.33,2025-06-24,Bob
5,7,448.28,2025-02-06,Carol
6,2,235.32,2025-04-02,Carol
7,2,407.57,2025-01-12,Dave
8,10,239.11,2025-03-04,Bob
9,2,167.49,2025-02-15,Bob
10,4,69.11,2025-02-07,Bob
11,9,386.26,2025-03-08,Dave
12,1,106.88,2025-04-01,Carol
13,8,32.67,2025-05-23,Alice
14,8,215.11,2025-06-28,Bob
15,7,356.7,2025-01-01,Bob
16,1,376.86,2025-01-28,Alice
17,8,356.53,2025-03-28,Alice
18,4,141.85,2025-06-12,Alice
19,9,56.54,2025-06-06,Carol
20,2,343.61,2025-05-25,Eve
21,3,195.15,2025-02-01,Carol
22,4,207.84,2025-03-07,Alice
23,6,127.09,2025-02-04,Dave
24,2,222.27,2025-02-26,Eve
25,10,25.23,2025-04-09,Bob
26,8,248.1,2025-04-23,Dave
27,6,467.29,2025-06-18,Carol
28,9,49.7,2025-03-15,Eve
29,7,484.43,2025-05-27,Carol
30,8,31.86,2025-05-19,Eve
31,8,80.19,2025-04-09,Carol
32,10,76.99,2025-02-23,Eve
33,10,104.39,2025-06-12,Eve
34,7,201.91,2025-01-25,Carol
35,9,100.15,2025-06-14,Dave
36,4,112.71,2025-01-07,Carol
37,8,303.32,2025-01-20,Eve
38,7,228.61,2025-04-25,Carol
39,9,113.11,2025-06-17,Eve
40,4,357.99,2025-03-14,Alice
41,3,108.89,2025-03-31,Dave
42,9,291.43,2025-03-16,Eve
43,5,216.87,2025-06-15,Alice
44,4,186.18,2025-01-12,Carol
45,2,439.91,2025-02-06,Carol
46,10,319.46,2025-02-18,Eve
47,7,304.81,2025-03-17,Dave
48,2,240.21,2025-02-28,Eve
49,1,228.61,2025-06-14,Dave
50,9,51.54,2025-01-14,Dave
51,2,373.89,2025-04-10,Eve
52,6,470.34,2025-02-11,Alice
53,5,362.12,2025-05-14,Bob
54,3,168.71,2025-04-29,Dave
55,1,71.27,2025-02-17,Eve
56,4,494.58,2025-01-03,Bob
57,9,491.18,2025-02-13,Bob
58,2,105.51,2025-01-29,Eve
59,5,365.81,2025-06-14,Bob
60,1,438.9,2025-01-28,Dave
61,3,327.65,2025-05-06,Eve
62,4,419.52,2025-04-20,Alice
63,4,270.18,2025-03-05,Eve
64,8,433.06,2025-03-20,Alice
65,2,219.21,2025-01-07,Bob
66,8,50.76,2025-04-19,Alice
67,7,367.28,2025-05-06,Dave
68,1,159.71,2025-06-13,Eve
69,2,406.99,2025-04-07,Dave
70,1,55.58,2025-05-09,Dave
71,4,230.75,2025-03-30,Bob
72,10,287.08,2025-05-27,Eve
73,9,400.87,2025-01-27,Eve
74,6,484.94,2025-03-28,Dave
75,8,386.43,2025-01-22,Bob
76,9,457.78,2025-02-12,Eve
77,9,69.28,2025-06-14,Carol
78,1,197.73,2025-02-05,Alice
79,5,404.14,2025-01-19,Carol
80,2,229.65,2025-06-23,Alice
81,9,344.35,2025-02-13,Dave
82,1,174.31,2025-04-07,Alice
83,4,229.7,2025-03-13,Eve
84,3,151.87,2025-01-16,Carol
85,6,264.34,2025-06-25,Eve
86,3,494.82,2025-04-10,Bob
87,2,329.84,2025-02-19,Eve
88,4,104.66,2025-05-07,Eve
89,2,152.87,2025-05-26,Alice
90,2,211.24,2025-02-28,Bob
91,6,199.86,2025-02-14,Dave
92,9,386.71,2025-06-11,Carol
93,4,419.81,2025-03-10,Carol
94,1,417.01,2025-02-14,Bob
95,3,195.03,2025-06-20,Eve
96,8,96.16,2025-01-06,Alice
97,4,312.49,2025-03-06,Bob
98,9,284.29,2025-06-04,Dave
99,4,121.83,2025-03-20,Carol
100,9,40.15,2025-01-07,Carol
